64.86.48.0 64.86.53.255 US  
64.86.54.0 64.86.55.255 HT  
64.86.56.0 64.86.61.255 CA  
64.86.62.0 64.86.63.255 US  
64.86.64.0 64.86.67.255 EC  
64.86.68.0 64.86.70.255 US  
64.86.71.0 64.86.71.255 CA  
64.86.72.0 64.86.75.255 MP  
64.86.76.0 64.86.76.255 MH  
64.86.77.0 64.86.89.255 US  
64.86.90.0 64.86.90.255 CA  
64.86.91.0 64.86.95.255 US  
64.86.96.0 64.86.98.255 CA  
64.86.99.0 64.86.99.255 US  
64.86.100.0 64.86.100.255 CA  
64.86.101.0 64.86.107.255 US  
64.86.108.0 64.86.110.31 CA  
64.86.110.32 64.86.120.255 US  
64.86.121.0 64.86.122.255 PK  
64.86.123.0 64.86.124.255 US  
64.86.125.0 64.86.125.255 CA  
64.86.126.0 64.86.130.255 US  
64.86.131.0 64.86.131.255 PK  
64.86.132.0 64.86.139.255 US  
64.86.140.0 64.86.141.255 CA  
64.86.142.0 64.86.144.255 US  
64.86.145.0 64.86.145.255 HN  
64.86.146.0 64.86.152.255 US  
64.86.153.0 64.86.159.255 CA  
64.86.160.0 64.86.175.255 US  
64.86.176.0 64.86.179.255 CA  
64.86.180.0 64.86.186.255 US  
64.86.187.0 64.86.187.255 CA  
64.86.188.0 64.86.192.255 US  
64.86.193.0 64.86.193.255 CA  
64.86.194.0 64.86.195.255 PW  
64.86.196.0 64.86.200.175 US  
64.86.200.176 64.86.200.191 FR  
64.86.200.192 64.86.209.255 US  
64.86.210.0 64.86.211.255 ZM  
64.86.212.0 64.86.214.255 US  
64.86.215.0 64.86.215.255 CA  
64.86.216.0 64.86.223.255 CR  
64.86.224.0 64.86.225.255 CO  
64.86.226.0 64.86.226.255 CA  
64.86.227.0 64.86.243.63 US  
64.86.243.64 64.86.243.79 CA  
64.86.243.80 64.87.63.255 US  
64.87.64.0 64.87.255.255 CA  
64.88.0.0 64.88.225.255 US  
64.88.226.0 64.88.226.255 GB  
64.88.227.0 64.88.227.255 US  
64.88.228.0 64.88.228.255 AU  
64.88.229.0 64.88.255.255 US  
64.89.0.0 64.89.15.255 PR  
64.89.16.0 64.89.191.255 US  
64.89.192.0 64.89.207.255 PR  
64.89.208.0 64.90.95.255 US  
64.90.96.0 64.90.111.255 CA  
64.90.112.0 64.90.113.255 US  
64.90.114.0 64.90.115.255 NL  
64.90.116.0 64.93.95.255 US  
64.93.96.0 64.93.111.255 CA  
64.93.112.0 64.94.57.255 US  
64.94.58.0 64.94.58.255 KY  
64.94.59.0 64.94.236.255 US  
64.94.237.0 64.94.237.255 GB  
64.94.238.0 64.95.187.255 US  
64.95.188.0 64.95.189.255 GB  
64.95.190.0 64.95.220.255 US  
64.95.221.0 64.95.221.255 CA  
64.95.222.0 64.95.255.255 US  
64.96.0.0 64.97.255.255 KY  
64.98.0.0 64.98.239.255 CA  
64.98.240.0 64.98.255.255 US  
64.99.0.0 64.99.255.255 CA  
64.100.0.0 64.103.25.232 US  
64.103.25.234 64.103.36.255 US  
64.103.38.0 64.103.79.255 US  
64.103.80.0 64.103.80.255 GB  
64.103.81.0 64.103.87.255 US  
64.103.88.0 64.103.88.255 GB  
64.103.89.0 64.104.43.255 US  
64.104.44.0 64.104.44.255 JP  
64.104.45.0 64.104.94.255 US  
64.104.96.0 64.104.124.255 US  
64.104.125.0 64.104.125.255 CN  
64.104.126.0 64.104.206.255 US  
64.104.207.0 64.104.207.255 AU  
64.104.208.0 64.104.247.255 US  
64.104.248.0 64.104.249.255 AU  
64.104.250.0 64.110.27.255 US  
64.110.28.0 64.110.28.255 DE  
64.110.29.0 64.110.29.255 BH  
64.110.30.0 64.110.30.255 DE  
64.110.31.0 64.110.31.255 BH  
64.110.32.0 64.110.36.255 DE  
64.110.37.0 64.110.37.255 BH  
64.110.38.0 64.110.50.255 DE  
64.110.51.0 64.110.63.255 US  
64.110.64.0 64.110.67.255 DE  
64.110.68.0 64.110.68.255 BH  
64.110.69.0 64.110.72.255 DE  
64.110.73.0 64.110.73.255 BH  
64.110.74.0 64.110.127.255 DE  
64.110.128.0 64.110.143.255 US  
64.110.148.0 64.110.152.255 US  
64.110.154.0 64.110.191.255 US  
64.110.192.0 64.110.255.255 CA  
